event_id,user_id,course_id,skill_id,event_type,completion_pct,score,occurred_at
evt_000001,user_0001,course_008,html_css_basics,completed,98.0,98.8,2026-02-16
evt_000002,user_0001,course_020,javascript_basics,completed,91.2,55.7,2026-02-20
evt_000003,user_0001,course_030,react_basics,completed,96.9,77.4,2026-02-27
evt_000004,user_0001,course_039,state_management,completed,93.9,91.5,2026-02-02
evt_000005,user_0002,course_002,python_basics,completed,91.1,77.6,2026-01-02
evt_000006,user_0002,course_014,statistics,completed,90.1,80.0,2026-02-15
evt_000007,user_0002,course_026,data_wrangling,completed,93.0,97.0,2026-02-01
evt_000008,user_0002,course_036,data_visualization,completed,94.3,50.3,2026-03-15
evt_000009,user_0002,course_038,machine_learning,completed,91.5,41.4,2026-03-19
evt_000010,user_0003,course_001,python_basics,completed,89.5,36.9,2026-02-21
evt_000011,user_0003,course_013,statistics,completed,91.5,50.9,2026-02-26
evt_000012,user_0003,course_025,data_wrangling,completed,94.1,59.9,2026-02-01
evt_000013,user_0003,course_036,data_visualization,dropped,21.1,,2026-03-11
evt_000014,user_0003,course_038,machine_learning,dropped,33.2,,2026-03-22
evt_000015,user_0004,course_001,python_basics,completed,90.2,73.2,2026-02-04
evt_000016,user_0004,course_006,sql_basics,completed,97.7,47.9,2026-03-16
evt_000017,user_0004,course_016,rest_apis,completed,93.6,72.4,2026-03-18
evt_000018,user_0005,course_002,python_basics,dropped,35.3,,2026-01-24
evt_000019,user_0005,course_013,statistics,completed,97.5,93.7,2026-02-06
evt_000020,user_0005,course_025,data_wrangling,completed,88.3,47.4,2026-02-16
evt_000021,user_0005,course_035,data_visualization,dropped,27.0,,2026-02-27
evt_000022,user_0005,course_038,machine_learning,completed,96.0,40.9,2026-02-28
evt_000023,user_0006,course_002,python_basics,completed,96.8,92.0,2026-01-22
evt_000024,user_0006,course_010,docker_basics,completed,98.7,96.4,2026-02-08
evt_000025,user_0007,course_002,python_basics,dropped,38.7,,2026-02-04
evt_000026,user_0007,course_005,sql_basics,completed,95.1,60.8,2026-02-18
evt_000027,user_0007,course_016,rest_apis,completed,85.2,69.9,2026-02-20
evt_000028,user_0007,course_018,databases_basics,completed,94.6,59.1,2026-02-02
evt_000029,user_0007,course_032,system_design,completed,99.1,56.3,2026-02-03
evt_000030,user_0007,course_033,backend_frameworks,completed,98.6,54.6,2026-03-14
evt_000031,user_0008,course_001,python_basics,completed,92.4,41.3,2026-01-28
evt_000032,user_0009,course_002,python_basics,completed,95.4,70.1,2026-01-20
evt_000033,user_0009,course_009,docker_basics,completed,97.5,75.0,2026-01-27
evt_000034,user_0010,course_002,python_basics,completed,99.3,90.6,2026-01-22
evt_000035,user_0010,course_010,docker_basics,completed,94.7,38.9,2026-02-03
evt_000036,user_0010,course_013,statistics,completed,86.4,48.8,2026-02-17
