skill_id,skill_name,category,is_foundational
python_basics,Python basics,data,1
git_basics,Git basics,shared,1
sql_basics,SQL basics,data,1
html_css_basics,HTML/CSS basics,frontend,1
docker_basics,Docker basics,backend,1
python_advanced,Python advanced,data,0
statistics,Statistics,data,0
rest_apis,REST APIs,backend,0
databases_basics,Databases basics,backend,0
javascript_basics,JavaScript basics,frontend,0
kubernetes_basics,Kubernetes basics,backend,0
cloud_aws_basics,Cloud (AWS) basics,backend,0
data_wrangling,Data wrangling,data,0
typescript_basics,TypeScript basics,frontend,0
react_basics,React basics,frontend,0
system_design,System design,backend,0
backend_frameworks,Backend frameworks,backend,0
data_visualization,Data visualization,data,0
machine_learning,Machine learning,data,0
state_management,State management,frontend,0
frontend_testing,Frontend testing,frontend,0
web_performance,Web performance,frontend,0
deep_learning,Deep learning,data,0
mlops_basics,MLOps basics,data,0
