skill_id,prerequisite_skill_id
python_advanced,python_basics
statistics,python_basics
rest_apis,python_basics
databases_basics,sql_basics
javascript_basics,html_css_basics
kubernetes_basics,docker_basics
cloud_aws_basics,docker_basics
data_wrangling,python_basics
data_wrangling,statistics
typescript_basics,javascript_basics
react_basics,javascript_basics
system_design,databases_basics
system_design,rest_apis
backend_frameworks,rest_apis
backend_frameworks,databases_basics
data_visualization,data_wrangling
machine_learning,statistics
machine_learning,data_wrangling
state_management,react_basics
frontend_testing,react_basics
web_performance,react_basics
deep_learning,machine_learning
mlops_basics,machine_learning
mlops_basics,docker_basics
